Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.160262,-0.73906,-9.699809,0.000181,0.006784,0.001705
0.096666,-0.774524,-9.69098,-0.003914,-0.007995,0.011979
0.0413,-0.786196,-9.646837,-0.012656,-0.013485,-0.033831
0.311545,-0.824354,-9.653421,-0.035095,0.001214,0.037874
-0.064344,-0.644788,-9.774029,-0.002402,0.044395,0.057574
0.047585,-0.702848,-9.635614,-0.018557,-0.039563,-0.073209
0.186598,-0.690129,-9.898677,0.003164,0.041008,0.096431
-0.044891,-0.685789,-9.658359,0.023402,0.022088,0.011808
0.088286,-0.88346,-9.540894,-0.021242,-0.045456,-0.057611
0.146794,-0.798317,-9.757569,-0.011804,0.031229,0.050436
0.048782,-0.758064,-9.684995,0.010102,0.033357,0.026612
0.052224,-0.847398,-9.616012,-0.032982,0.007605,-0.011235
0.135123,-0.688183,-9.725696,-0.023729,-0.005201,-0.03449
0.158765,-0.75986,-9.813982,0.013895,0.058634,0.075048
0.051924,-0.734571,-9.705794,-0.004535,0.011029,0.001332
0.070779,-0.808791,-9.656414,-0.022026,-0.043003,-0.06883
0.16909,-0.73098,-9.805752,-0.010971,0.04148,0.018455
0.225654,-0.748188,-9.739762,0.000149,0.040468,0.047421
-0.018405,-0.824952,-9.639056,-0.037033,-0.040109,-0.050539
0.191237,-0.71437,-9.80261,-0.024964,-0.005276,-0.012815
0.278625,-0.691625,-9.795128,-0.002041,0.005138,0.027625
0.096965,-0.742951,-9.754426,-9e-06,0.016994,0.023233
0.096965,-0.712874,-9.723152,-0.005795,-0.036573,-0.027054
0.134075,-0.691924,-9.736769,0.003135,-0.014785,0.00583
0.096367,-0.772429,-9.657761,0.005293,0.013045,0.037311
-0.006285,-0.772429,-9.690082,-0.005684,0.008457,0.018741
0.073173,-0.736367,-9.656563,-0.012787,-0.017086,-0.018112
0.021847,-0.706738,-9.802759,0.0015,0.005166,0.007679
0.101305,-0.752976,-9.647136,0.005032,0.008737,0.010676
0.014664,-0.802058,-9.577854,-0.034981,-0.003458,-0.00708
