Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.149338,0.025738,-9.712079,-0.006342,0.006957,0.002863
0.150535,0.039055,-9.730335,-0.005772,0.008032,0.001843
0.153827,0.034117,-9.713725,-0.004716,0.007059,0.003665
0.154426,0.034417,-9.735722,-0.009084,0.009817,0.001188
0.164751,0.02873,-9.730036,-0.004416,0.008064,0.000691
0.15293,0.024391,-9.704298,-0.003737,0.007765,0.00134
0.16086,0.039055,-9.72809,-0.003908,0.009269,0.002066
0.160711,0.028132,-9.717167,-0.006959,0.00743,0.001769
0.153827,0.038457,-9.723152,-0.006682,0.008091,-7e-05
0.141707,0.032771,-9.703849,-0.007688,0.00922,0.002372
0.152181,0.03307,-9.720758,-0.00742,0.009426,-0.000425
0.151583,0.030526,-9.72824,-0.004027,0.007713,0.002694
0.151882,0.03726,-9.716419,-0.007178,0.011675,0.00302
0.154875,0.035165,-9.739463,-0.005423,0.007228,0.002359
0.162955,0.04145,-9.769091,-0.004873,0.009618,0.001498
0.174777,0.035314,-9.731382,-0.005898,0.008992,0.000357
0.149189,0.036362,-9.757719,-0.006444,0.009428,0.002505
0.153079,0.032471,-9.748142,-0.005499,0.009496,0.001925
0.161309,0.038008,-9.739163,-0.004233,0.009361,0.004756
0.150236,0.038756,-9.745448,-0.006709,0.007576,3.9e-05
0.159065,0.039804,-9.728539,-0.004918,0.010385,0.000876
0.159663,0.033668,-9.758167,-0.005094,0.012022,0.000756
0.147992,0.037709,-9.768043,-0.00323,0.008156,0.001233
0.162058,0.031274,-9.735423,-0.003223,0.010003,0.00234
0.156072,0.038158,-9.753678,-0.00495,0.008995,0.001443
0.148441,0.027683,-9.734375,-0.004143,0.005477,0.002258
0.159364,0.035614,-9.749937,-0.007789,0.005565,-0.001795
0.169988,0.031873,-9.740061,-0.001635,0.005843,0.004519
0.151583,0.036512,-9.748441,-0.003741,0.008752,-0.001827
0.150984,0.037709,-9.747394,-0.005393,0.007491,-0.000423
0.155773,0.039804,-9.740361,-0.005252,0.004874,0.001348
0.160262,0.02888,-9.742605,-0.006462,0.009547,0.003733
0.154426,0.039504,-9.735123,-0.004856,0.009965,0.002421
0.162357,0.029479,-9.726594,-0.005494,0.008228,0.00469
0.154875,0.040552,-9.709984,-0.006128,0.008497,0.002999
0.149338,0.026935,-9.719411,-0.008696,0.007584,-0.000533
0.158167,0.047285,-9.726893,-0.006562,0.008623,0.002513
0.154127,0.036661,-9.729138,-0.006461,0.007769,0.001314
0.157269,0.040402,-9.727641,-0.003965,0.007459,0.002018
0.151433,0.03696,-9.71986,-0.004413,0.00619,-0.000805
0.162207,0.032621,-9.735572,-0.001686,0.006181,0.002619
0.154576,0.034716,-9.72824,-0.007316,0.008392,0.002317
0.149189,0.028132,-9.730036,-0.006639,0.008763,-8.2e-05
0.162058,0.03696,-9.713126,-0.007962,0.0091,-0.000464
0.156521,0.027084,-9.725098,-0.005219,0.009558,0.000949
0.154127,0.035165,-9.752631,-0.006104,0.008071,0.003851
0.166098,0.032022,-9.72001,-0.006853,0.009191,-0.001172
0.147243,0.043694,-9.740809,-0.005801,0.008502,0.001515
0.15697,0.036362,-9.767146,-0.005906,0.008913,0.002148
0.151134,0.038607,-9.745149,-0.007636,0.009046,0.001248
